Code,Site,Year,Type,Dups,PCB,Flag,Concentration
MEBC4P,MEBC,1995,p,NA,PCB_44,TRUE,2
MEBC4P,MEBC,1995,p,NA,PCB_50,TRUE,2
MEBC4P,MEBC,1995,p,NA,PCB_52,TRUE,2
MEBC4P,MEBC,1995,p,NA,PCB_66_95,TRUE,2
MEBC4P,MEBC,1995,p,NA,PCB_77,TRUE,2
MEBC4P,MEBC,1995,p,NA,PCB_87,TRUE,2
MEBC4P,MEBC,1995,p,NA,PCB_101_90,TRUE,2
MEBC4P,MEBC,1995,p,NA,PCB_105,TRUE,2
MEBC4P,MEBC,1995,p,NA,PCB_118,TRUE,2
MEBC4P,MEBC,1995,p,NA,PCB_126,TRUE,2
MEBC4P,MEBC,1995,p,NA,PCB_128,TRUE,2
MEBC4P,MEBC,1995,p,NA,PCB_138,TRUE,2
MEBC4P,MEBC,1995,p,NA,PCB_153_132,TRUE,2
MEBC4P,MEBC,1995,p,NA,PCB_169,TRUE,2
MEBC4P,MEBC,1995,p,NA,PCB_170_190,TRUE,2
MEBC4P,MEBC,1995,p,NA,PCB_180,TRUE,2
MEBC4P,MEBC,1995,p,NA,PCB_187,TRUE,2
MEBC4P,MEBC,1995,p,NA,PCB_195_208,TRUE,2
MEBC4P,MEBC,1995,p,NA,PCB_206,TRUE,2
MEBC4P,MEBC,1995,p,NA,PCB_209,TRUE,2
MEBC4P,MEBC,1995,p,NA,Total,TRUE,NA
MEBC4P Duplicate,MEBC,1995,p,TRUE,PCB_8_5,TRUE,2
MEBC4P Duplicate,MEBC,1995,p,TRUE,PCB_18_15,TRUE,2
MEBC4P Duplicate,MEBC,1995,p,TRUE,PCB_28,TRUE,2
MEBC4P Duplicate,MEBC,1995,p,TRUE,PCB_29,TRUE,2
MEBC4P Duplicate,MEBC,1995,p,TRUE,PCB_44,TRUE,2
MEBC4P Duplicate,MEBC,1995,p,TRUE,PCB_50,TRUE,2
MEBC4P Duplicate,MEBC,1995,p,TRUE,PCB_52,TRUE,2
MEBC4P Duplicate,MEBC,1995,p,TRUE,PCB_66_95,TRUE,2
MEBC4P Duplicate,MEBC,1995,p,TRUE,PCB_77,TRUE,2
MEBC4P Duplicate,MEBC,1995,p,TRUE,PCB_87,TRUE,2
MEBC4P Duplicate,MEBC,1995,p,TRUE,PCB_101_90,TRUE,2
MEBC4P Duplicate,MEBC,1995,p,TRUE,PCB_105,TRUE,2
MEBC4P Duplicate,MEBC,1995,p,TRUE,PCB_118,TRUE,2
MEBC4P Duplicate,MEBC,1995,p,TRUE,PCB_126,TRUE,2
MEBC4P Duplicate,MEBC,1995,p,TRUE,PCB_128,TRUE,2
MEBC4P Duplicate,MEBC,1995,p,TRUE,PCB_138,TRUE,2
MEBC4P Duplicate,MEBC,1995,p,TRUE,PCB_153_132,TRUE,2
MEBC4P Duplicate,MEBC,1995,p,TRUE,PCB_169,TRUE,2
MEBC4P Duplicate,MEBC,1995,p,TRUE,PCB_170_190,TRUE,2
MEBC4P Duplicate,MEBC,1995,p,TRUE,PCB_180,TRUE,2
MEBC4P Duplicate,MEBC,1995,p,TRUE,PCB_187,TRUE,2
MEBC4P Duplicate,MEBC,1995,p,TRUE,PCB_195_208,TRUE,2
MEBC4P Duplicate,MEBC,1995,p,TRUE,PCB_206,TRUE,2
MEBC4P Duplicate,MEBC,1995,p,TRUE,PCB_209,TRUE,2
MEBC4P Duplicate,MEBC,1995,p,TRUE,Total,TRUE,NA
MERY 1,MERY,1999,NA,NA,PCB_8_5,TRUE,2
MERY 1,MERY,1999,NA,NA,PCB_18_15,TRUE,2
MERY 1,MERY,1999,NA,NA,PCB_28,TRUE,2
MERY 1,MERY,1999,NA,NA,PCB_29,TRUE,1
