2000 GULFWATCH METAL CONCENTRATIONS IN UG/G DRY WEIGHT														

Year	Station	Sample	AG	AL	CD	CR	CU	FE	HG	NI	PB	ZN	SOLID	
 	Massachusetts					 								
														
2000	NSDI	1N	0.1	93	0.9	0.8	6	210	0.2	1.5	1.1	53	19.1	
2000	NSDI	2N	0.1	99	1.2	0.9	7.2	220	0.2	1.6	1.2	49	18.8	
2000	NSDI	3N	0.1	93	1.1	0.9	6.6	210	0.2	1.5	1	48	19.7	
2000	NSDI	4N	0.1	92	1	0.9	6.2	220	0.1	1.5	0.9	47	19.7	
 														
2000	NSSC	1N	0.1	110	1.2	1.3	4.6	380	0.2	2.2	1.4	57	13.5	
2000	NSSC	2N	0.1	94	0.9	0.9	4.6	280	0.2	1.7	1.1	40	15.7	
2000	NSSC	3N	0.1	140	1	1.1	5.1	360	0.2	2	1	44	15.2	
2000	NSSC	4N	ND0.1	170	0.9	1.1	4.5	390	0.2	1.9	0.8	46	15.2	
 														
2000														
2000														
2000														
2000														
