8;5 	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2.0	<2.0	<2.0	<2.0	<2.0	<2.0	<2	<2.0	<2.0	<2.0	<2.0	<2.0	<2.0	<2.0	<2.0	<2.0	<2.0	<2.0	<2.0	<2.0	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2.0	<2.0	<2.0	<2.0	<2.0	<2.0	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2
128	2.8	2.3	2.8	1.3	3.8	3.4	4.5	3.3	2.1	2.6	2.6	1.5	<1	2.4	<1	2.3	2	2.4	2.8	2.6	2.2	<1.0	<1.0	<1.0	<1.0	<1.0	<1.0	<1	<1.0	<1.0	1.9	1.2	2.4	<1.0	<1.0	<1.0	<1.0	<1.0	<1.0	<1.0	<1.0	1.4	1.4	<1	<1	1.1	<1	<1	<1	<1	1.9	1.4	<1	<1	<1	<1	<1.0	<1.0	<1.0	<1.0	<1.0	<1.0	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1
180	<1	2.3	<1	<1	<1	2.5	3.2	2.1	2.4	2.6	2.8	1.8	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1.0	<1.0	<1.0	<1.0	<1.0	<1.0	<1	<1.0	1.3	3.1	2	3	<1.0	<1.0	<1.0	<1.0	<1.0	<1.0	<1.0	<1.0	<1	<1	<1	<1	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	1.7	1.5	2	<1	<1	<1.0	<1.0	<1.0	<1.0	<1.0	<1.0	<1	<1	1.6	2.1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1.5
169	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1	<1	<1	<1	2	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1
170;190	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	2	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5
195;208	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5
206	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5
209	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5

Total	81	91	88	44	122	120	158	147	85	111	102	79	56	73	52	70	61	43	57	55	43	15	13	12	14	8	12	6	11	33	78	56	94	39	44	36	40	35	44	43	35	35	41	25	25	31	ND	ND	ND	ND	72	67	51	57	8	7	2	2	ND	ND	ND	ND	8	22	21	20	32	29	24	25	30	5	5	5	6	ND	ND	ND	1	12	10	12	12	12	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND

Surrogate Recovery (%)																																																																																																		
103	87	104	95	75	91	97	102	120	97	87	89	92	112	119	116	120	115	83	98	93	74	84	89	86	83	87	92	89	95	95	92	86	92	89	77	90	85	89	84	89	84	86	90	92	90	95	72%	81%	69%	86%	95%	90	85	93	76	81	86	92	85	85	84	85	139	157	156	159	86	86	85	89	93	115	89	90	84	114	87	92	86	89	95	101	104	115	87	76	91	86	84	83	87	90%	80%	73%	74%	72%	78%	83%
198	91	109	97	74	93	103	107	133	105	119	97	104	116	126	96	119	111	90	124	117	96	88	89	87	89	90	96	119	99	93	94	89	97	97	92	95	92	97	89	96	90	95	99	102	124	134	101%	89%	103%	94%	105%	99	90	97	85	91	92	101	89	93	91	91	154	193	172	229	93	93	91	91	97	120	93	100	92	129	96	92	91	93	92	103	104	102	92	80	96	82	95	90	92	109%	93%	84%	98%	84%	91%	103%

IN = Interference																																																																																																		
